index	value
2412	17226
2413	17226
2414	17489
2415	17754
2416	17754
2417	17739
2418	17739
2419	17742
2420	17996
2421	17996
2422	18009
2423	18009
2424	18009
2425	18009
2426	17742
2427	17754
2428	17753
2429	18021
2430	17738
2431	17739
2432	17754
2433	17757
2434	17757
2435	17757
2436	17226
2437	17492
2438	17489
2439	17753
2440	17473
2441	17473
2442	17474
2443	17201
2444	17198
2445	17210
2446	17211
2447	17226
2448	17226
2449	17229
2450	17226
2451	17492
2452	17757
2453	17492
2454	17757
2455	17742
2456	17492
2457	17757
2458	17757
2459	17757
2460	17489
2461	17226
2462	17226
2463	17226
2464	17226
2465	17226
2466	17226
2467	17211
2468	17214
2469	17742
2470	17474
2471	17739
2472	17739
2473	17739
2474	17753
2475	17754
2476	17754
2477	17754
2478	17489
2479	17474
2480	17211
2481	17229
2482	17214
2483	17214
2484	17201
2485	17201
2486	17214
2487	17201
2488	17453
2489	17190
2490	17464
2491	17201
2492	17201
2493	17461
2494	17211
2495	17474
